H,భర్త
HF,మావయ్య
HM,అత్త
HB,బావ/బావమరిది
HFF,తాత
HFM,అవ్వ
HFB,చినమామగారు
HFB,చినమామగారు
HFB,చినమామగారు
HFB,పెదమామగారు
HFB,పెదమామగారు
HFB,చినమామగారు
HFZ,పెద్దమ్మ/చిన్నమ్మ
HMF,తాత
HMM,అవ్వ
HMB,పెదనాన్న/చిన్నాన్న
HMB,పెదనాన్న/చిన్నాన్న
HMZ,పెద్ద అత్త/చిన్న అత్త
HMZ,పెద్ద అత్త/చిన్న అత్త
HMZ,పెద్ద అత్త/చిన్న అత్త
HMZ,పెద్ద అత్త/చిన్న అత్త
HMZ,పెద్ద అత్త/చిన్న అత్త
HBS,బావ కుమారుడు
HBS,బావ కుమారుడు
HBW,అక్క
HFFF,ముత్తాత
HFFM,ముత్తవ్వ
HFFB,తాత
HFFB,తాత
HFFZ,అవ్వ
HFFZ,అవ్వ
HFFZ,అవ్వ
HFMF,ముత్తాత
HFMM,ముత్తవ్వ
HFMB,తాత
HFMB,తాత
HFMB,తాత
HFMB,తాత
HFMZ,అవ్వ
HFMZ,అవ్వ
HFMZ,అవ్వ
HFMZ,అవ్వ
HFMZ,అవ్వ
HFBS,అన్న
HFBS,బావ/బావమరిది
HFBS,బావ/బావమరిది
HFBS,బావ/బావమరిది
HFBS,బావ/బావమరిది
HFBS,బావ/బావమరిది
HFBD,మరదలు
HFBD,మరదలు
HFBD,మరదలు
HFBD,మరదలు
HFBD,మరదలు
HFBD,మరదలు
HFBD,మరదలు
HFBD,మరదలు
HFBD,మరదలు
HFBW,పెద్ద అత్త/చిన్న అత్త
HFBW,పెద్ద అత్త/చిన్న అత్త
HFBW,పెద్ద అత్త/చిన్న అత్త
HFBW,పెద్ద అత్త/చిన్న అత్త
HFBW,పెద్ద అత్త/చిన్న అత్త
HFZS,పెద్దమ్మ/చిన్నమ్మ కుమారుడు
HFZS,పెద్దమ్మ/చిన్నమ్మ కుమారుడు
HFZD,పెద్దమ్మ/చిన్నమ్మ కుమార్తె
HFZD,పెద్దమ్మ/చిన్నమ్మ కుమార్తె
HFZH,పెదనాన్న/చిన్నాన్న
HMFF,ముత్తాత
HMFM,ముత్తవ్వ
HMFB,తాత
HMFC,అవ్వ
HMFC,అవ్వ
HMFC,అవ్వ
HMMF,ముత్తాత
HMMM,ముత్తవ్వ
HMMB,తాత
HMMB,తాత
HMMB,తాత
HMMB,తాత
HMMB,తాత
HMMC,అవ్వ
HMBS,పెద్దమ్మ/చిన్నమ్మ కుమారుడు
HMBS,పెద్దమ్మ/చిన్నమ్మ కుమారుడు
HMBS,పెద్దమ్మ/చిన్నమ్మ కుమారుడు
HMBS,పెద్దమ్మ/చిన్నమ్మ కుమారుడు
HMBD,పెద్దమ్మ/చిన్నమ్మ కుమార్తె
HMBD,పెద్దమ్మ/చిన్నమ్మ కుమార్తె
HMBW,పెద్దమ్మ/చిన్నమ్మ
HMBW,పెద్దమ్మ/చిన్నమ్మ
HMCS,బావ/బావమరిది
HMCS,బావ/బావమరిది
HMCD,మరదలు
HMCD,మరదలు
HMCD,మరదలు
HMCH,పెద్ద/చిన్న మామగారు
HMCH,పెద్ద/చిన్న మామగారు
HMCH,పెద్ద/చిన్న మామగారు
HMCH,పెద్ద/చిన్న మామగారు
ZD,అక్క/చెల్లెలు కుమార్తె
ZH,అక్క భర్త
